20160211141552 CRAWL RESUMED - Running
           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2016-02-11T14:16:12Z         114         100           13       0.65(0.65)     15(15)             0             0        18862         28772            1          99          50
2016-02-11T14:16:32Z         114          97           16        0.15(0.4)       1(8)             0             0        20627         28772            1          97          48
2016-02-11T14:16:52Z         118          96           21       0.25(0.35)       3(6)             0             0        14952         28772            1          96          96
2016-02-11T14:17:12Z         126          96           29        0.4(0.36)       5(6)             0             0        20272         28772            1          94          48
2016-02-11T14:17:32Z         148         112           35        0.3(0.35)       3(5)             0             1        15709         28772            1         112         112
2016-02-11T14:17:52Z         166         124           41        0.3(0.34)       3(5)             0             1        17350         28772            1         124         124
2016-02-11T14:18:12Z         166         118           47        0.3(0.34)       2(4)             0             1        18099         28772            1         118         118
2016-02-11T14:18:32Z         167         115           51        0.2(0.32)       3(4)             0             0        19781         28772            1         115         115
2016-02-11T14:18:52Z         231         176           54        0.15(0.3)      11(5)             0             0        14390         28772            1         166          88
2016-02-11T14:19:12Z         300         244           56        0.1(0.28)       3(5)             0             1        18077         28772            1         166         122
2016-02-11T14:19:32Z         310         248           62        0.3(0.28)      16(6)             0             0        19367         28772            1         161         124
2016-02-11T14:19:52Z         318         248           70        0.4(0.29)       7(6)             0             0        22075         28772            1         160         124
2016-02-11T14:20:12Z         450         368           82        0.6(0.32)      45(9)             0             0        17367         28772            1         236         184
2016-02-11T14:20:32Z         605         515           90        0.4(0.32)      16(9)             0             1        19634         28772            1         315         257
2016-02-11T14:20:52Z         607         506          101       0.55(0.34)       9(9)             0             0        21249         28772            1         313         253
2016-02-11T14:21:12Z         607         493          114       0.65(0.36)       2(9)             0             0        14902         28772            1         308         246
2016-02-11T14:21:32Z         640         512          128        0.7(0.38)       4(9)             0             0        18405         28772            1         335         256
2016-02-11T14:21:52Z         640         501          139       0.55(0.39)       6(8)             0             0        19678         28772            1         331         250
2016-02-11T14:22:12Z         640         489          151         0.6(0.4)       5(8)             0             0        21130         28772            1         327         244
2016-02-11T14:22:32Z         640         480          160        0.45(0.4)       4(8)             0             0        22261         28772            1         323         240
2016-02-11T14:22:52Z         640         469          171       0.55(0.41)       5(8)             0             1        15655         28772            1         319         234
2016-02-11T14:23:12Z         800         624          176        0.25(0.4)      15(8)             0             0        15868         28772            1         315         312
2016-02-11T14:23:32Z         800         611          189       0.65(0.41)       4(8)             0             0        17430         28772            1         310         305
2016-02-11T14:23:52Z        1019         818          201        0.6(0.42)       8(8)             0             0        17386         28772            1         524         409
2016-02-11T14:24:12Z        1019         807          212       0.55(0.42)       1(8)             0             0        18710         28772            1         518         403
2016-02-11T14:24:32Z        1019         795          224        0.6(0.43)       1(8)             0             0        20169         28772            1         510         397
2016-02-11T14:24:52Z        1019         783          236        0.6(0.44)       1(7)             0             1        21732         28772            1         503         391
2016-02-11T14:25:12Z        1019         768          251       0.75(0.45)       2(7)             0             0        15341         28772            1         496         384
2016-02-11T14:25:32Z        1019         762          257        0.3(0.44)       1(7)             0             0        16085         28772            1         493         381
2016-02-11T14:25:52Z        1019         753          266       0.45(0.44)       2(7)             0             0        17160         28772            1         489         376
2016-02-11T14:26:12Z        1019         737          282        0.8(0.45)       2(7)             0             0        19101         28772            1         481         368
2016-02-11T14:26:32Z        1019         724          295       0.65(0.46)       3(6)             0             0        20690         28772            1         476         362
2016-02-11T14:26:52Z        1019         712          307        0.6(0.47)       2(6)             0             0        22199         28772            1         470         356
2016-02-11T14:27:12Z        1019         702          317        0.5(0.47)       2(6)             0             1        15432         28772            1         466         351
2016-02-11T14:27:32Z        1019         689          330       0.65(0.47)       4(6)             0             1        16998         28772            1         461         344
2016-02-11T14:27:52Z        1019         679          340        0.5(0.47)       4(6)             0             1        18256         28772            1         457         339
2016-02-11T14:28:12Z        1019         667          352        0.6(0.48)       5(6)             0             1        19719         28772            1         453         333
2016-02-11T14:28:32Z        1019         656          363       0.55(0.48)       6(6)             0             1        21100         28772            1         449         328
2016-02-11T14:28:52Z        1019         643          376       0.65(0.48)       4(6)             0             1        22680         28772            1         444         321
2016-02-11T14:29:12Z        1019         632          387       0.55(0.48)       5(6)             0             1        16108         28772            1         441         316
2016-02-11T14:29:32Z        1019         622          397        0.5(0.48)      10(6)             0             0        17287         28772            1         437         311
2016-02-11T14:29:52Z        1019         610          409        0.6(0.49)       3(6)             0             0        18763         28772            1         433         305
2016-02-11T14:30:12Z        1019         597          422       0.65(0.49)       2(6)             0             0        20397         28772            1         428         298
2016-02-11T14:30:32Z        1019         588          431       0.45(0.49)       4(6)             0             0        21945         28772            1         423         294
2016-02-11T14:30:52Z        1019         579          440       0.45(0.49)       5(6)             0             1        15319         28772            1         419         289
2016-02-11T14:31:12Z        1020         570          450        0.5(0.49)      16(6)             0             0        22820         28772            1         415         285
2016-02-11T14:31:32Z        1049         593          456        0.3(0.49)       5(6)             0             0        17386         28772            1         410         296
2016-02-11T14:31:52Z        1049         581          468        0.6(0.49)       4(6)             0             0        18832         28772            1         405         290
2016-02-11T14:32:12Z        1418         938          480        0.6(0.49)       3(6)             0             1        16541         28772            1         770         469
2016-02-11T14:32:32Z        2213        1721          492        0.6(0.49)      14(6)             0             0        18933         28772            1        1560         860
2016-02-11T14:32:52Z        2228        1723          505        0.65(0.5)       3(6)             0             0        21724         28772            1        1553         861
2016-02-11T14:33:12Z        2238        1719          519         0.7(0.5)       2(6)             0             0        24340         28772            1        1546         859
2016-02-11T14:33:32Z        2247        1715          532        0.65(0.5)       2(6)             0             1        18970         28772            1        1539         857
2016-02-11T14:33:52Z        2275        1729          546        0.7(0.51)       4(6)             0             0        22807         28772            1        1531         864
2016-02-11T14:34:12Z        2275        1713          562        0.8(0.51)       2(6)             0             0        24665         28772            1        1523         856
2016-02-11T14:34:32Z        2275        1701          574        0.6(0.51)       1(6)             0             1        18109         28772            1        1516         850
2016-02-11T14:34:52Z        2443        1860          583       0.45(0.51)      13(6)             0             0        19658         28772            1        1508         930
2016-02-11T14:35:12Z        2443        1845          598       0.75(0.52)       1(6)             0             0        21503         28772            1        1500         922
2016-02-11T14:35:32Z        2443        1830          613       0.75(0.52)       2(6)             0             0        23464         28772            1        1492         915
2016-02-11T14:35:52Z        2443        1814          629        0.8(0.52)       2(6)             0             0        17212         28772            1        1484         907
2016-02-11T14:36:12Z        2443        1799          644       0.75(0.53)       1(6)             0             0        18965         28772            1        1477         899
2016-02-11T14:36:32Z        2443        1783          660        0.8(0.53)       2(6)             0             0        20918         28772            1        1469         891
2016-02-11T14:36:52Z        2443        1767          676        0.8(0.54)       2(5)             0             0        22876         28772            1        1461         883
2016-02-11T14:37:12Z        2443        1753          690        0.7(0.54)       1(5)             0             2        24688         28772            1        1454         876
2016-02-11T14:37:32Z        2443        1742          701       0.55(0.54)       1(5)             0             1        17914         28772            1        1451         871
2016-02-11T14:37:52Z        2443        1729          714       0.65(0.54)       1(5)             0             0        19490         28772            1        1445         864
2016-02-11T14:38:12Z        2443        1714          729       0.75(0.54)       1(5)             0             1        21407         28772            1        1437         857
2016-02-11T14:38:32Z        2443        1699          744       0.75(0.55)       2(5)             0             1        23226         28772            1        1430         849
2016-02-11T14:38:52Z        2443        1684          759       0.75(0.55)       2(5)             0             0        16969         28772            1        1422         842
2016-02-11T14:39:12Z        2443        1668          775        0.8(0.55)       2(5)             0             0        18874         28772            1        1414         834
2016-02-11T14:39:32Z        2443        1653          790       0.75(0.56)       1(5)             0             1        20795         28772            1        1407         826
2016-02-11T14:39:52Z        2443        1638          805       0.75(0.56)       2(5)             0             1        22708         28772            1        1399         819
2016-02-11T14:40:12Z        2443        1622          821        0.8(0.56)       2(5)             0             0        24655         28772            1        1391         811
2016-02-11T14:40:32Z        2443        1609          834       0.65(0.56)       3(5)             0             0        18145         28772            1        1383         804
2016-02-11T14:40:52Z        2443        1598          845       0.55(0.56)       2(5)             0             1        19528         28772            1        1376         799
2016-02-11T14:41:12Z        2443        1585          858       0.65(0.56)       2(5)             0             0        21114         28772            1        1368         792
2016-02-11T14:41:32Z        2443        1570          873       0.75(0.57)       2(5)             0             0        22910         28772            1        1360         785
2016-02-11T14:41:52Z        2443        1555          888       0.75(0.57)       1(5)             0             1        24789         28772            1        1353         777
2016-02-11T14:42:12Z        2443        1539          904        0.8(0.57)       2(5)             0             0        18563         28772            1        1345         769
2016-02-11T14:42:32Z        2444        1527          917       0.65(0.57)       3(5)             0             1        20725         28772            1        1337         763
2016-02-11T14:42:52Z        2447        1519          928       0.55(0.57)      13(5)             0             0        21713         28772            1        1329         759
2016-02-11T14:43:12Z        2449        1513          936        0.4(0.57)       8(5)             0             1        19863         28772            1        1323         756
2016-02-11T14:43:32Z        2449        1499          950        0.7(0.57)       2(5)             0             0        21379         28772            1        1317         749
2016-02-11T14:43:52Z        2449        1487          962        0.6(0.57)       1(5)             0             0        22728         28772            1        1313         743
2016-02-11T14:44:12Z        2449        1475          974        0.6(0.57)       1(5)             0             0        24092         28772            1        1308         737
2016-02-11T14:44:32Z        2449        1460          989       0.75(0.58)       2(5)             0             0        17846         28772            1        1300         730
2016-02-11T14:44:52Z        2449        1444         1005        0.8(0.58)       2(5)             0             0        19635         28772            1        1292         722
2016-02-11T14:45:12Z        2449        1430         1019        0.7(0.58)       1(5)             0             0        21158         28772            1        1286         715
2016-02-11T14:45:32Z        2453        1421         1032       0.65(0.58)       5(5)             0             0        17061         28772            1        1279         710
2016-02-11T14:45:52Z        2453        1406         1047       0.75(0.58)       2(5)             0             1        18900         28772            1        1272         703
2016-02-11T14:46:12Z        2454        1393         1061        0.7(0.58)       5(5)             0             0        22342         28772            1        1264         696
2016-02-11T14:46:32Z        2457        1384         1073        0.6(0.58)      11(5)             0             0        21271         28772            1        1256         692
2016-02-11T14:46:52Z        2459        1375         1084       0.55(0.58)       7(5)             0             1        18254         28772            1        1250         687
2016-02-11T14:47:12Z        2459        1364         1095       0.55(0.58)       1(5)             0             2        19521         28772            1        1243         682
2016-02-11T14:47:32Z        2517        1410         1107        0.6(0.58)      10(5)             0             0        18654         28772            1        1235         705
2016-02-11T14:47:52Z        2519        1402         1117        0.5(0.58)       7(5)             0             0        23401         28772            1        1227         701
2016-02-11T14:48:12Z        2521        1397         1124       0.35(0.58)       7(5)             0             1        19898         28772            1        1222         698
2016-02-11T14:48:32Z        2579        1444         1135       0.55(0.58)      10(5)             0             0        19209         28772            1        1214         722
2016-02-11T14:48:52Z        2582        1436         1146       0.55(0.58)      11(5)             0             0        17757         28772            1        1206         718
2016-02-11T14:49:12Z        2694        1539         1155       0.45(0.58)       7(5)             0             0        23158         28772            1        1199         769
2016-02-11T14:49:32Z        2695        1530         1165        0.5(0.58)       8(5)             0             0        24875         28772            1        1192         765
